_id,game_mode,creator_id,status,started_at,ended_at,winner,score.0,score.1,frames_count,isRematch,updated_at,created_at,end_stats.rating_points.0,end_stats.rating_points.1,end_stats.highest_break.0,end_stats.highest_break.1,end_stats.balls_potted.0,end_stats.balls_potted.1,end_stats.total_points.0,end_stats.total_points.1,end_stats.table_time.0,end_stats.table_time.1,end_stats.pot_success.0,end_stats.pot_success.1,end_stats.shot_time.0,end_stats.shot_time.1,end_stats.game_id,end_stats.updated_at,end_stats.created_at,users.0._id,users.0.username,users.0.created_at,users.0.seconds_in_game,users.0.online.online_sessions,users.0.online_game_rating.value,users.0.energy.count,users.1._id,users.1.username,users.1.created_at,users.1.seconds_in_game,users.1.online.online_sessions,users.1.online_game_rating.value,users.1.energy.count
68226b9f612ab1ef420a88ee,15RedFrame,65a1710e3e8abf0ee9065ae2,2,1747086270,1747086894,65a1710e3e8abf0ee9065ae2,1,0,1,,2025-05-12T21:54:54.989000Z,2025-05-12T21:43:59.173000Z,22,-23,23,1,16,4,50,8,0.77083333333333,0.22916666666667,0.66666666666667,0.30769230769231,13583.333333333,5000,68226b9f612ab1ef420a88ee,2025-05-12T21:54:55.062000Z,2025-05-12T21:54:55.062000Z,65a1710e3e8abf0ee9065ae2,tommaooo,2024-01-12T17:04:14.895000Z,947786,706,1618,5222,669176606e0f8b05350db036,CaesarJ,2024-07-12T18:30:56.942000Z,13168394,1201,2110,5750
682270db8638d3b5d300c4b2,15RedFrame,65a1710e3e8abf0ee9065ae2,2,1747087610,1747088318,66131254cab2884d3f0beb04,0,1,1,,2025-05-12T22:18:38.170000Z,2025-05-12T22:06:19.599000Z,-11,10,9,16,8,14,14,39,0.52005730659026,0.47994269340974,0.32,0.4375,8520,5000,682270db8638d3b5d300c4b2,2025-05-12T22:18:38.247000Z,2025-05-12T22:18:38.247000Z,65a1710e3e8abf0ee9065ae2,tommaooo,2024-01-12T17:04:14.895000Z,947786,706,1618,5222,66131254cab2884d3f0beb04,Craic19,2024-04-07T21:38:28.695000Z,12507512,1979,1981,8750
68227100612ab1ef420a88fd,15RedFrame,65bc261bafc2216366065d73,-1,,,,0,0,1,,2025-05-12T22:07:43.605000Z,2025-05-12T22:06:56.029000Z,,,,,,,,,,,,,,,,,,65bc261bafc2216366065d73,ze4591,2024-02-01T23:15:39.901000Z,747290,360,1791,922,,,,,,,
68227cf54464a882a7093d68,15RedFrame,65c2306a1e5c86cd63000f52,2,1747090713,1747091706,65c2306a1e5c86cd63000f52,1,0,1,,2025-05-12T23:15:06.272000Z,2025-05-12T22:57:57.322000Z,10,-11,27,15,21,12,74,48,0.75240128068303,0.24759871931697,0.56756756756757,0.54545454545455,19567.567567568,4863.6363636364,68227cf54464a882a7093d68,2025-05-12T23:15:06.353000Z,2025-05-12T23:15:06.353000Z,65c2306a1e5c86cd63000f52,Mohammed,2024-02-06T13:13:14.047000Z,3505871,971,2132,1299,661310e92863368c930c3324,cairoking,2024-04-07T21:32:25.394000Z,9216811,1484,2037,8750
68227f0bc0167217b901acb7,15RedFrame,662e78911a6f5d6f0a092a42,2,1747091241,1747091752,6691775316cf30ae4101de48,0,1,1,,2025-05-12T23:15:52.730000Z,2025-05-12T23:06:51.586000Z,-25,24,12,34,8,20,27,68,0.45050505050505,0.54949494949495,0.53333333333333,0.74074074074074,10000,4888.8888888889,68227f0bc0167217b901acb7,2025-05-12T23:15:52.828000Z,2025-05-12T23:15:52.828000Z,662e78911a6f5d6f0a092a42,Player_jazzra,2024-04-28T16:25:53.744000Z,1984860,1691,2003,42057,6691775316cf30ae4101de48,buzzybee,2024-07-12T18:34:59.274000Z,14683053,1257,2007,8750
6822813169a06b15c10791e1,15RedFrame,662e78911a6f5d6f0a092a42,2,1747091773,1747092590,662e78911a6f5d6f0a092a42,1,0,1,,2025-05-12T23:29:50.909000Z,2025-05-12T23:16:01.837000Z,14,-15,22,8,19,6,52,15,0.6039603960396,0.3960396039604,0.67857142857143,0.375,11000,13562.5,6822813169a06b15c10791e1,2025-05-12T23:29:50.989000Z,2025-05-12T23:29:50.989000Z,662e78911a6f5d6f0a092a42,Player_jazzra,2024-04-28T16:25:53.744000Z,1984860,1691,2003,42057,65c2306a1e5c86cd63000f52,Mohammed,2024-02-06T13:13:14.047000Z,3505871,971,2132,1299
6822847986c539333401c228,15RedFrame,662e78911a6f5d6f0a092a42,2,1747092626,1747093617,662e78911a6f5d6f0a092a42,1,0,1,,2025-05-12T23:46:57.080000Z,2025-05-12T23:30:01.848000Z,10,-11,16,22,11,19,94,63,0.50606060606061,0.49393939393939,0.44,0.41304347826087,12960,4739.1304347826,6822847986c539333401c228,2025-05-12T23:46:57.137000Z,2025-05-12T23:46:57.137000Z,662e78911a6f5d6f0a092a42,Player_jazzra,2024-04-28T16:25:53.744000Z,1984860,1691,2003,42057,669176606e0f8b05350db036,CaesarJ,2024-07-12T18:30:56.942000Z,13168394,1201,2110,5750
6822887e86c539333401c229,15RedFrame,662e78911a6f5d6f0a092a42,-1,,,,0,0,1,,2025-05-12T23:47:13.531000Z,2025-05-12T23:47:10.257000Z,,,,,,,,,,,,,,,,,,662e78911a6f5d6f0a092a42,Player_jazzra,2024-04-28T16:25:53.744000Z,1984860,1691,2003,42057,,,,,,,
6822890c69a06b15c10791ee,15RedFrame,662e78911a6f5d6f0a092a42,2,1747093801,1747094676,662e78911a6f5d6f0a092a42,1,0,1,,2025-05-13T00:04:36.317000Z,2025-05-12T23:49:32.402000Z,8,-9,27,22,20,13,62,48,0.6924882629108,0.3075117370892,0.60606060606061,0.52,12333.333333333,4800,6822890c69a06b15c10791ee,2025-05-13T00:04:36.396000Z,2025-05-13T00:04:36.396000Z,662e78911a6f5d6f0a092a42,Player_jazzra,2024-04-28T16:25:53.744000Z,1984860,1691,2003,42057,661310e92863368c930c3324,cairoking,2024-04-07T21:32:25.394000Z,9216811,1484,2037,8750
6822e831c0db8984f40d5303,15RedFrame,662e78911a6f5d6f0a092a42,2,1747118152,1747118685,662e78911a6f5d6f0a092a42,1,0,1,,2025-05-13T06:44:45.297000Z,2025-05-13T06:35:29.365000Z,9,-10,39,24,20,11,72,38,0.54656862745098,0.45343137254902,0.76923076923077,0.64705882352941,8346.1538461538,5058.8235294118,6822e831c0db8984f40d5303,2025-05-13T06:44:45.371000Z,2025-05-13T06:44:45.371000Z,662e78911a6f5d6f0a092a42,Player_jazzra,2024-04-28T16:25:53.744000Z,1984860,1691,2003,42057,669176606e0f8b05350db036,CaesarJ,2024-07-12T18:30:56.942000Z,13168394,1201,2110,5750
